input,output
POWER=3 TOUGHNESS=3,MANA={3}{G}
POWER=3 TOUGHNESS=1,MANA={1}{R}
POWER=1 TOUGHNESS=2,MANA={1}{U}
POWER=2 TOUGHNESS=1,MANA={B}
POWER=1 TOUGHNESS=1,MANA={1}{U}
POWER=3 TOUGHNESS=3,MANA={1}{B}{G}
POWER=1 TOUGHNESS=1,MANA={1}{G}
POWER=1 TOUGHNESS=1,MANA={U}
POWER=1 TOUGHNESS=2,MANA={2}{G}
POWER=1 TOUGHNESS=1,MANA={G}{U}
POWER=3 TOUGHNESS=2,MANA={2}{B}
POWER=4 TOUGHNESS=5,MANA={5}{U}{U}
POWER=* TOUGHNESS=*,MANA={6}{U}{U}
POWER=1 TOUGHNESS=2,MANA={1}{G}{G}
POWER=2 TOUGHNESS=3,MANA={2}{W}
POWER=2 TOUGHNESS=1,MANA={2}{B}
POWER=2 TOUGHNESS=1,MANA={2}{U}
POWER=2 TOUGHNESS=2,MANA={3}{B}
POWER=1 TOUGHNESS=1,MANA={3}{B}
POWER=0 TOUGHNESS=4,MANA={1}{U}
POWER=5 TOUGHNESS=5,MANA={5}{B}{B}
POWER=3 TOUGHNESS=3,MANA={3}{G}
POWER=5 TOUGHNESS=5,MANA=
POWER=5 TOUGHNESS=5,MANA=
POWER=2 TOUGHNESS=3,MANA={2}{G}
POWER=1 TOUGHNESS=1,MANA={2}{B/P}{B/P}
POWER=4 TOUGHNESS=3,MANA={2}{R}{R}
POWER=3 TOUGHNESS=1,MANA={1}{R}
POWER=3 TOUGHNESS=1,MANA={W/U}{U}{U/B}
POWER=2 TOUGHNESS=2,MANA={2}{W}
POWER=5 TOUGHNESS=5,MANA={3}{W}{W}
POWER=4 TOUGHNESS=2,MANA=
POWER=1 TOUGHNESS=1,MANA={G}
POWER=6 TOUGHNESS=6,MANA={6}{G}
POWER=3 TOUGHNESS=2,MANA={2}{W}
POWER=4 TOUGHNESS=3,MANA={3}{B}{G}
POWER=5 TOUGHNESS=5,MANA={6}
POWER=4 TOUGHNESS=4,MANA={3}{W}{B}
POWER=2 TOUGHNESS=1,MANA={1}{B}
POWER=3 TOUGHNESS=3,MANA={3}{G}
POWER=2 TOUGHNESS=1,MANA={1}{W}
POWER=3 TOUGHNESS=2,MANA={1}{B}{G}
POWER=3 TOUGHNESS=3,MANA={3}{R}
POWER=2 TOUGHNESS=2,MANA={2}{W}
POWER=1 TOUGHNESS=2,MANA={1}{B}
POWER=3 TOUGHNESS=4,MANA={3}{W}
POWER=1 TOUGHNESS=2,MANA={R}
POWER=4 TOUGHNESS=3,MANA={3}{W}{W}
POWER=4 TOUGHNESS=3,MANA={2}{U}
POWER=7 TOUGHNESS=6,MANA={7}{G}
POWER=2 TOUGHNESS=1,MANA={3}{B}
POWER=5 TOUGHNESS=5,MANA={6}
POWER=0 TOUGHNESS=0,MANA={G}{G}{G}
POWER=4 TOUGHNESS=3,MANA={3}{R}
